subject,t,c_hat,ci_low,ci_high
S01,0.0,0.0,0.0,0.0
S01,0.1,1.3919194428871016,1.27160772634784,1.512231159426363
S01,0.2,2.6040857645411077,2.398096782374618,2.8100747467075973
S01,0.3,3.6572492183721943,3.3931824696003474,3.921315967144041
S01,0.4,4.569798452516656,4.269309036637832,4.870287868395479
S01,0.5,5.358028768878957,5.037745960767754,5.6783115769901595
S01,0.6,6.036379918185894,5.708677406816943,6.364082429554845
S01,0.7,6.617646890473739,6.2912871537498205,6.944006627197657
S01,0.8,7.1131667675872965,6.793843006152136,7.4324905290224565
S01,0.9,7.532984356037807,7.223786931510119,7.842181780565495
S01,1.0,7.885999009878809,7.587838841840957,8.184159177916662
S01,1.1,8.180094779624989,7.892120388496941,8.468069170753038
S01,1.2,8.422255780678029,8.142296468420298,8.70221509293576
S01,1.3,8.618668459706942,8.343715375190744,8.89362154422314
S01,1.4,8.774812246830573,8.501512484110577,9.048112009550568
S01,1.5,8.895539912493996,8.62064472476928,9.170435100218713
S01,1.6,8.985148798160896,8.705851529294602,9.26444606702719
S01,1.7,9.047443957181542,8.761573248439316,9.33331466592377
S01,1.8,9.085794124509855,8.79187135533726,9.379716893682449
S01,1.9,9.103181329620929,8.800380511246914,9.405982147994944
S01,2.0,9.1022448745047,8.790299125782159,9.414190623227242
S01,2.1,9.085320316637185,8.764409629291084,9.406231003983287
S01,2.2,9.05447402416509,8.725115594820382,9.383832453509799
S01,2.3,9.011533806125795,8.674485246283854,9.348582365967737
S01,2.4,8.958116063425331,8.614294862580671,9.301937264269991
S01,2.5,8.895649855681981,8.546068834015552,9.24523087734841
S01,2.6,8.825398234175438,8.471115141852307,9.179681326498569
S01,2.7,8.748477151369203,8.39055612368703,9.106398179051375
S01,2.8,8.665872222217674,8.30535486705091,9.026389577384437
S01,2.9,8.578453581217138,8.216337753488622,8.940569408945654
S01,3.0,8.48698905145625,8.124213692561064,8.849764410351437
S01,3.1,8.392155817364046,8.029590544318767,8.754721090409324
S01,3.2,8.294550771084676,7.932989165975525,8.656112376193827
S01,3.3,8.19469968311117,7.834855449427177,8.554543916795161
S01,3.4,8.093065330704931,7.735570657790796,8.450560003619067
S01,3.5,7.9900547024646515,7.635460323903181,8.344649081026123
S01,3.6,7.886025383966981,7.534801923691567,8.237248844242394
S01,3.7,7.781291217486527,7.433831506567436,8.128750928405617
S01,3.8,7.676127318240842,7.332749436826127,8.019505199655557
S01,3.9,7.570774520243572,7.231725372446978,7.909823668040166
S01,4.0,7.465443316549686,7.1309025924159,7.799984040683471
S01,4.1,7.360317351319798,7.030401763104467,7.69023293953513
S01,4.2,7.255556514609216,6.930324222477658,7.580788806740774
S01,4.3,7.151299685006429,6.830754847385354,7.471844522627505
S01,4.4,7.047667160121393,6.731764560504926,7.36356975973786
S01,4.5,6.944762810381424,6.633412522647782,7.256113098115066
S01,4.6,6.842675987565894,6.535748049240288,7.149603925891499
S01,4.7,6.741483215941503,6.438812284109772,7.0441541477732335
S01,4.8,6.641249690695826,6.34263965597638,6.939859725415272
S01,4.9,6.542030605562099,6.247259140093314,6.836802071030883
S01,5.0,6.443872329041919,6.15269534313836,6.735049314945478
S01,5.1,6.346813446428624,6.058969425580402,6.6346574672768455
S01,5.2,6.250885682880471,5.966099875630921,6.53567149013002
S01,5.3,6.156114721060923,5.874103145677265,6.4381262964445805
S01,5.4,6.062520925328213,5.782994163423602,6.342047687232824
S01,5.5,5.970119983095578,5.6927867276393425,6.247453238551813
S01,5.6,5.878923472777216,5.603493801295082,6.15435314425935
S01,5.7,5.788939366665801,5.515127714072624,6.062751019258978
S01,5.8,5.700172476139468,5.427700285926392,5.972644666352544
S01,5.9,5.612624845755963,5.341222886003779,5.884026805508148
S01,6.0,5.526296102046874,5.255706439015482,5.796885765078267
S01,6.1,5.4411837621645835,5.171161392185989,5.711206132143178
S01,6.2,5.357283506949372,5.087597654236105,5.626969359662639
S01,6.3,5.274589422465271,5.005024517695795,5.5441543272347475
S01,6.4,5.193094213593411,4.923450573243212,5.46273785394361
S01,6.5,5.11278939286396,4.842883624125001,5.3826951616029195
S01,6.6,5.033665447346349,4.763330606743008,5.304000287949691
S01,6.7,4.955711986097226,4.684797521731024,5.226626450463428
S01,6.8,4.878917870381559,4.6072893783055795,5.150546362457539
S01,6.9,4.803271328630671,4.530810153679384,5.075732503581958
